,states,Initial_budget (Bn),Revised_budget (Bn)
0,Abia,136.6,102.7
1,Adamawa,183.3,139.31
2,Akwa-Ibom,597.73,366.0
3,Anambra,137.1,112.8
4,Bauchi,167.2,128.0
5,Bayelsa,242.18,183.15
6,Benue,189.0,119.0
7,Borno,146.8,108.8
8,Cross River,1100.0,147.1
9,Delta,395.5,282.3
10,Ebonyi,178.4,131.8
11,Edo,179.2,128.8
12,Ekiti,124.5,91.1
13,Enugu,169.56,146.4
14,Gombe,130.83,107.4
15,Imo,197.6,108.3
16,Jigawa,152.92,124.0
17,Kaduna,259.25,223.6
18,Kano,200.0,138.0
19,Katsina,244.0,213.0
20,Kebbi,138.0,99.6
21,Kogi,176.0,102.0
22,Kwara,160.0,120.0
23,Lagos,1680.0,920.5
24,Nasarawa,108.4,62.96
25,Niger,155.0,98.0
26,Ogun,449.9,280.0
27,Ondo,187.8,151.4
28,Osun,119.6,82.2
29,Oyo,213.0,174.0
30,Plateau,177.3,122.0
31,Rivers,530.8,300.4
32,Sokoto,202.4,153.0
33,Taraba,215.0,150.5
34,Yobe,108.0,86.0
35,Zamfara,188.5,127.3
36,FCT,278.78,199.0
