,Province/State,Country/Region,Lat,Long,Date,cases
0,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-01,12
1,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-01,0
2,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-10,13
3,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-10,0
4,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-11,13
5,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-11,0
6,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-12,13
7,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-12,0
8,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-13,13
9,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-13,0
10,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-14,13
11,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-14,0
12,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-15,13
13,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-15,0
14,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-16,15
15,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-16,0
16,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-17,15
17,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-17,0
18,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-18,15
19,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-18,0
20,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-19,15
21,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-19,0
22,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-02,12
23,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-02,0
24,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-20,15
25,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-20,0
26,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-21,15
27,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-21,0
28,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-22,0
29,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-22,15
30,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-22,0
31,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-23,0
32,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-23,15
33,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-23,0
34,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-24,0
35,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-24,15
36,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-24,0
37,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-25,0
38,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-25,15
39,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-25,0
40,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-26,0
41,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-26,15
42,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-26,0
43,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-27,0
44,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-27,15
45,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-27,0
46,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-28,0
47,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-28,15
48,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-28,0
49,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-29,0
50,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-29,15
51,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-29,0
52,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-03,13
53,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-03,0
54,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-30,0
55,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-30,15
56,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-30,0
57,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-31,0
58,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-31,15
59,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-31,0
60,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-04,13
61,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-04,0
62,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-05,13
63,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-05,0
64,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-06,13
65,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-06,0
66,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-07,13
67,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-07,0
68,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-08,13
69,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-08,0
70,Anguilla,United Kingdom,18.2206,-63.0686,2021-01-09,13
71,Anguilla,United Kingdom,18.2206,-63.0686,2022-01-09,0
72,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-01,3
73,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-01,0
74,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-10,3
75,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-10,0
76,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-11,3
77,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-11,0
78,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-12,3
79,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-12,0
80,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-13,3
81,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-13,0
82,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-14,3
83,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-14,0
84,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-15,3
85,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-15,0
86,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-16,3
87,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-16,0
88,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-17,3
